family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F03,branch_switch,权重转向,1,A,st_000129,1.02,AB,AB,structure,st_000130,,1.02,1,0,1,1,0,1,0,0,0,0,0
F03,branch_switch,权重转向,2,AB,st_000130,1.02,ABY,ABY,structure,st_000135,,0.6375,2,0,1,1,0,0,1,1,0,0,0
F03,branch_switch,权重转向,3,ABY,st_000135,1.02,memory:switch,memory:switch,memory,st_000136,em_000051,1.02,1,1,1,1,0,0,0,0,0,1,0
F03,terminal_stop,终端停止,1,A,st_000137,1.02,AB,AB,structure,st_000138,,1.02,1,0,1,1,0,1,0,0,0,0,0
F03,terminal_stop,终端停止,2,AB,st_000138,1.02,ABC,ABC,structure,st_000139,,0.6375,2,0,1,1,0,0,1,1,0,0,0
F03,terminal_stop,终端停止,3,ABC,st_000139,1.02,memory:terminal,memory:terminal,memory,st_000140,em_000052,1.02,1,1,1,1,0,0,0,0,1,0,0
F03,terminal_stop,终端停止,4,ABCD,st_000140,1.02,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F04,chain_follow,连续承接,1,A,st_000145,1.03,AB,AB,structure,st_000146,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,chain_follow,连续承接,2,AB,st_000146,1.03,ABC,ABC,structure,st_000147,,0.67133929,2,0,1,1,0,0,1,1,0,0,0
F04,chain_follow,连续承接,3,ABC,st_000147,1.03,memory:terminal,memory:terminal,memory,st_000148,em_000055,1.03,1,1,1,1,0,0,0,0,1,0,0
F04,wrong_seed_control,错误种子对照,1,D,st_000157,1.03,DX,memory:distractor,memory,st_000158,em_000059,1.03,1,1,1,1,0,0,0,0,0,0,1
F04,wrong_seed_control,错误种子对照,2,DX,st_000158,1.03,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F04,low_budget_control,低预算剪枝,1,A,st_000161,0.015,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F04,no_carry_control,无承接对照,1,A,st_000169,1.03,AB,AB,structure,st_000170,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,no_carry_control,无承接对照,2,A,st_000169,1.03,AB,AB,structure,st_000170,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,no_carry_control,无承接对照,3,A,st_000169,1.03,AB,AB,structure,st_000170,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,branch_switch,权重转向,1,A,st_000177,1.03,AB,AB,structure,st_000178,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,branch_switch,权重转向,2,AB,st_000178,1.03,ABY,ABY,structure,st_000183,,0.67133929,2,0,1,1,0,0,1,1,0,0,0
F04,branch_switch,权重转向,3,ABY,st_000183,1.03,memory:switch,memory:switch,memory,st_000184,em_000069,1.03,1,1,1,1,0,0,0,0,0,1,0
F04,terminal_stop,终端停止,1,A,st_000185,1.03,AB,AB,structure,st_000186,,1.03,1,0,1,1,0,1,0,0,0,0,0
F04,terminal_stop,终端停止,2,AB,st_000186,1.03,ABC,ABC,structure,st_000187,,0.67133929,2,0,1,1,0,0,1,1,0,0,0
F04,terminal_stop,终端停止,3,ABC,st_000187,1.03,memory:terminal,memory:terminal,memory,st_000188,em_000070,1.03,1,1,1,1,0,0,0,0,1,0,0
F04,terminal_stop,终端停止,4,ABCD,st_000188,1.03,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F05,chain_follow,连续承接,1,A,st_000193,1.04,AB,AB,structure,st_000194,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,chain_follow,连续承接,2,AB,st_000194,1.04,ABC,ABC,structure,st_000195,,0.68714286,2,0,1,1,0,0,1,1,0,0,0
F05,chain_follow,连续承接,3,ABC,st_000195,1.04,memory:terminal,memory:terminal,memory,st_000196,em_000073,1.04,1,1,1,1,0,0,0,0,1,0,0
F05,wrong_seed_control,错误种子对照,1,D,st_000205,1.04,DX,memory:distractor,memory,st_000206,em_000077,1.04,1,1,1,1,0,0,0,0,0,0,1
F05,wrong_seed_control,错误种子对照,2,DX,st_000206,1.04,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F05,low_budget_control,低预算剪枝,1,A,st_000209,0.016,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F05,no_carry_control,无承接对照,1,A,st_000217,1.04,AB,AB,structure,st_000218,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,no_carry_control,无承接对照,2,A,st_000217,1.04,AB,AB,structure,st_000218,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,no_carry_control,无承接对照,3,A,st_000217,1.04,AB,AB,structure,st_000218,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,branch_switch,权重转向,1,A,st_000225,1.04,AB,AB,structure,st_000226,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,branch_switch,权重转向,2,AB,st_000226,1.04,ABY,ABY,structure,st_000231,,0.68714286,2,0,1,1,0,0,1,1,0,0,0
F05,branch_switch,权重转向,3,ABY,st_000231,1.04,memory:switch,memory:switch,memory,st_000232,em_000087,1.04,1,1,1,1,0,0,0,0,0,1,0
F05,terminal_stop,终端停止,1,A,st_000233,1.04,AB,AB,structure,st_000234,,1.04,1,0,1,1,0,1,0,0,0,0,0
F05,terminal_stop,终端停止,2,AB,st_000234,1.04,ABC,ABC,structure,st_000235,,0.68714286,2,0,1,1,0,0,1,1,0,0,0
F05,terminal_stop,终端停止,3,ABC,st_000235,1.04,memory:terminal,memory:terminal,memory,st_000236,em_000088,1.04,1,1,1,1,0,0,0,0,1,0,0
F05,terminal_stop,终端停止,4,ABCD,st_000236,1.04,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F06,chain_follow,连续承接,1,A,st_000241,1.05,AB,AB,structure,st_000242,,1.05,1,0,1,1,0,1,0,0,0,0,0
F06,chain_follow,连续承接,2,AB,st_000242,1.05,ABC,ABC,structure,st_000243,,0.646875,2,0,1,1,0,0,1,1,0,0,0
F06,chain_follow,连续承接,3,ABC,st_000243,1.05,memory:terminal,memory:terminal,memory,st_000244,em_000091,1.05,1,1,1,1,0,0,0,0,1,0,0
F06,wrong_seed_control,错误种子对照,1,D,st_000253,1.05,DX,memory:distractor,memory,st_000254,em_000095,1.05,1,1,1,1,0,0,0,0,0,0,1
